Algorithm,Checksum/Digest
Checksum - UByte (8 bit),00000001 CCF0FE74
Checksum - UShort (16 bit) - Little Endian,000000EA B034B8A9
Checksum - UShort (16 bit) - Big Endian,000000E4 0DBAB9CB
Checksum - UInt (32 bit) - Little Endian,00756506 F06E13DE
Checksum - UInt (32 bit) - Big Endian,0077544A 5BE817C0
Checksum - UInt64 (64 bit) - Little Endian,16A201B5 DA05D14A
Checksum - UInt64 (64 bit) - Big Endian,623DF88A F9E5210A
CRC-16,B32E
CRC-16/CCITT,C1A6
CRC-32,5FBF1C0B
Adler32,65C80229
MD2,AD673EDEF2E02D5C3A42FEB2DFBC2759
MD4,36046756CEE0A0FD2AF3FCC8E1944B6E
MD5,406A97C49A6BF9F991BAE07E2C6678A0
RIPEMD160,59BCE1D4E8E8E48664E4B8F601485CE7BD5D2727
SHA-1,C8369FFF81D160FBBFAE31207AF2E9DDF87BDFE6
SHA-256,234398066A45734A117F0F874B36467E1652D1644756D7D123B679BAA41B81A8
SHA-512,2AFF076A681EAA9F898258916AE59EE0FA32E8A414EA2EEC74C5D0D99638EBC2593563298EF970E5DDBFD68B80AD91161C1E98043B298D2CFE079ECA0F35AD86
TIGER,518E7EBE7643B41284D8E9C4A86B27AB53437589D45CD931
